"","grid_label","row","col","lon","lat"
"90","E10","E",10,-2.42873803647358,52.7667442855256
"91","E11","E",11,-2.42866393536645,52.7667445534484
"92","E12","E",12,-2.42858983425815,52.766744821325
"93","E13","E",13,-2.42851573314868,52.7667450891552
"94","E14","E",14,-2.42844163203803,52.7667453569392
"95","E15","E",15,-2.42836753092621,52.7667456246769
"96","E16","E",16,-2.42829342981322,52.7667458923683
"97","E17","E",17,-2.42821932869906,52.7667461600134
"98","E18","E",18,-2.42814522758372,52.7667464276123
"99","E19","E",19,-2.42807112646722,52.7667466951648
"100","E20","E",20,-2.42799702534954,52.7667469626711
"101","F1","F",1,-2.42940450394781,52.7666969258035
"102","F2","F",2,-2.42933040292754,52.7666971941424
"103","F3","F",3,-2.4292563019061,52.766697462435
"104","F4","F",4,-2.42918220088349,52.7666977306814
"105","F5","F",5,-2.4291080998597,52.7666979988814
"106","F6","F",6,-2.42903399883473,52.7666982670352
"107","F7","F",7,-2.4289598978086,52.7666985351427
"108","F8","F",8,-2.42888579678128,52.7666988032039
"109","F9","F",9,-2.4288116957528,52.7666990712188
"110","F10","F",10,-2.42873759472314,52.7666993391875
"111","F11","F",11,-2.42866349369231,52.7666996071099
"112","F12","F",12,-2.4285893926603,52.766699874986
"113","F13","F",13,-2.42851529162713,52.7667001428158
"114","F14","F",14,-2.42844119059278,52.7667004105993
"115","F15","F",15,-2.42836708955726,52.7667006783366
"116","F16","F",16,-2.42829298852056,52.7667009460276
"117","F17","F",17,-2.4282188874827,52.7667012136723
"118","F18","F",18,-2.42814478644366,52.7667014812707
"119","F19","F",19,-2.42807068540345,52.7667017488228
"120","F20","F",20,-2.42799658436207,52.7667020163287
"121","G1","G",1,-2.42940406151186,52.766651979469
"122","G2","G",2,-2.42932996056789,52.7666522478074
"123","G3","G",3,-2.42925585962275,52.7666525160996
"124","G4","G",4,-2.42918175867643,52.7666527843455
"125","G5","G",5,-2.42910765772894,52.7666530525451
"126","G6","G",6,-2.42903355678027,52.7666533206985
"127","G7","G",7,-2.42895945583043,52.7666535888055
"128","G8","G",8,-2.42888535487942,52.7666538568663
"129","G9","G",9,-2.42881125392723,52.7666541248809
"130","G10","G",10,-2.42873715297387,52.7666543928491
"131","G11","G",11,-2.42866305201933,52.766654660771
"132","G12","G",12,-2.42858895106363,52.7666549286467
"133","G13","G",13,-2.42851485010675,52.766655196476
"134","G14","G",14,-2.4284407491487,52.7666554642592
"135","G15","G",15,-2.42836664818947,52.766655731996
"136","G16","G",16,-2.42829254722907,52.7666559996865
"137","G17","G",17,-2.42821844626751,52.7666562673308
"138","G18","G",18,-2.42814434530477,52.7666565349288
"139","G19","G",19,-2.42807024434085,52.7666568024805
"140","G20","G",20,-2.42799614337577,52.7666570699859
"141","H1","H",1,-2.42940361907709,52.7666070331341
"142","H2","H",2,-2.42932951820942,52.7666073014721
"143","H3","H",3,-2.42925541734057,52.7666075697638
"144","H4","H",4,-2.42918131647055,52.7666078380093
"145","H5","H",5,-2.42910721559936,52.7666081062085
"146","H6","H",6,-2.42903311472699,52.7666083743614
"147","H7","H",7,-2.42895901385344,52.766608642468
"148","H8","H",8,-2.42888491297872,52.7666089105284
"149","H9","H",9,-2.42881081210283,52.7666091785425
"150","H10","H",10,-2.42873671122577,52.7666094465103
"151","H11","H",11,-2.42866261034753,52.7666097144318
"152","H12","H",12,-2.42858850946812,52.766609982307
